Month/Year,Notes,Civilian Labor Force ,Employed,Unemployed,Unemployment Rate
01/01/1990 12:00:00 AM,,57150,55200,1900,3.4
02/01/1990 12:00:00 AM,,56750,54850,1950,3.4
03/01/1990 12:00:00 AM,,56850,54750,2150,3.7
04/01/1990 12:00:00 AM,,58000,55550,2450,4.2
05/01/1990 12:00:00 AM,,58250,55750,2500,4.3
06/01/1990 12:00:00 AM,,59000,56350,2650,4.5
07/01/1990 12:00:00 AM,,60250,57950,2350,3.9
08/01/1990 12:00:00 AM,,59600,57650,1950,3.3
09/01/1990 12:00:00 AM,,58350,56250,2100,3.6
10/01/1990 12:00:00 AM,,58000,56350,1650,2.8
11/01/1990 12:00:00 AM,,58900,57350,1550,2.7
12/01/1990 12:00:00 AM,,59100,57700,1400,2.3
01/01/1991 12:00:00 AM,,60850,58700,2150,3.5
02/01/1991 12:00:00 AM,,60550,58500,2050,3.4
03/01/1991 12:00:00 AM,,61000,58600,2400,4
04/01/1991 12:00:00 AM,,61800,59100,2700,4.4
05/01/1991 12:00:00 AM,,62150,59550,2600,4.2
06/01/1991 12:00:00 AM,,63950,60200,3750,5.8
07/01/1991 12:00:00 AM,,65200,61900,3300,5.1
08/01/1991 12:00:00 AM,,63950,60800,3150,4.9
09/01/1991 12:00:00 AM,,63550,60250,3350,5.3
10/01/1991 12:00:00 AM,,62650,59900,2750,4.4
11/01/1991 12:00:00 AM,,62850,59950,2900,4.6
12/01/1991 12:00:00 AM,,62700,59750,2950,4.7
01/01/1992 12:00:00 AM,,63400,59700,3700,5.9
02/01/1992 12:00:00 AM,,62950,59150,3800,6.1
03/01/1992 12:00:00 AM,,63550,59200,4300,6.8
04/01/1992 12:00:00 AM,,64000,59250,4750,7.5
05/01/1992 12:00:00 AM,,64450,59350,5100,7.9
06/01/1992 12:00:00 AM,,66000,59400,6600,10
07/01/1992 12:00:00 AM,,66750,60400,6400,9.6
08/01/1992 12:00:00 AM,,65650,59800,5850,8.9
09/01/1992 12:00:00 AM,,64250,59000,5250,8.1
10/01/1992 12:00:00 AM,,63050,59000,4050,6.4
11/01/1992 12:00:00 AM,,63800,59550,4200,6.6
12/01/1992 12:00:00 AM,,63300,59300,4000,6.3
01/01/1993 12:00:00 AM,,65000,60150,4850,7.4
02/01/1993 12:00:00 AM,,64500,59850,4650,7.2
03/01/1993 12:00:00 AM,,64650,59700,4950,7.6
04/01/1993 12:00:00 AM,,64350,59350,5050,7.8
05/01/1993 12:00:00 AM,,64650,59300,5350,8.3
06/01/1993 12:00:00 AM,,65600,59350,6200,9.5
07/01/1993 12:00:00 AM,,66750,61250,5500,8.2
08/01/1993 12:00:00 AM,,65650,60700,4900,7.5
09/01/1993 12:00:00 AM,,63900,59150,4750,7.4
10/01/1993 12:00:00 AM,,64250,59950,4300,6.7
11/01/1993 12:00:00 AM,,65000,60400,4600,7.1
12/01/1993 12:00:00 AM,,64100,59950,4150,6.5
01/01/1994 12:00:00 AM,,65500,60300,5200,8
02/01/1994 12:00:00 AM,,64600,59450,5100,7.9
03/01/1994 12:00:00 AM,,64400,58950,5450,8.5
04/01/1994 12:00:00 AM,,64800,59350,5450,8.4
05/01/1994 12:00:00 AM,,64950,59400,5600,8.6
06/01/1994 12:00:00 AM,,66350,59300,7050,10.6
07/01/1994 12:00:00 AM,,68200,60950,7250,10.6
08/01/1994 12:00:00 AM,,66700,59900,6800,10.2
09/01/1994 12:00:00 AM,,65900,59000,6900,10.5
10/01/1994 12:00:00 AM,,64750,58550,6200,9.6
11/01/1994 12:00:00 AM,,65050,58900,6150,9.4
12/01/1994 12:00:00 AM,,64500,59100,5450,8.4
01/01/1995 12:00:00 AM,,65150,59250,5900,9
02/01/1995 12:00:00 AM,,64200,58850,5350,8.3
03/01/1995 12:00:00 AM,,64550,58900,5650,8.8
04/01/1995 12:00:00 AM,,65100,59150,6000,9.2
05/01/1995 12:00:00 AM,,64950,58650,6300,9.7
06/01/1995 12:00:00 AM,,66150,58450,7700,11.7
07/01/1995 12:00:00 AM,,67750,60000,7800,11.5
08/01/1995 12:00:00 AM,,66700,59250,7500,11.2
